"Timestamp","How much have you currently spent?","How often do you play?","What are your spending habits?","When do you usually spend(orbs) on a banner? (just any given banner in general)","How fast do you complete quests","How do you go about getting orb rewards","Have you let pity rates over 4.25 die?","There's a new deal, you can buy a character you really want for a bulk sum of orbs, how many orbs are you willing to pay?"," Orb prices have decreased by 15% for a week, will you buy?","Your pity rate is 4.75 but this week orbs are 30% more expensive, will you buy?","Your pity rate is at 4.75 but the one time deals are $40 (USD) for 83 orbs or $36 for 75 orbs, what do you choose","Let's make a deal. You must spend $75 (USD) for 160 orb, but after you get a 5* any unused orbs from that $75 package disappear, do you buy?"
"2018/03/23 10:10:19 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","80","No","No","No","No"
"2018/03/23 10:10:41 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","50","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 10:10:55 PM EST","< 100","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 10:11:00 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Don’t even complete quests most of the time","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","100000","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 10:12:29 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","35","No","No","No","Yes"
"2018/03/23 10:13:52 PM EST","500 - 2000","Every day","Spend at the beginning of the month, or some periodic time","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","300","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 10:14:26 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","200","Yes","Yes","No","Yes"
"2018/03/23 10:22:50 PM EST","< 100","Every day","Spend at the beginning of the month, or some periodic time","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","250","Yes","No","No","No"
"2018/03/23 10:24:03 PM EST","< 100","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","No","No","No","No"
"2018/03/23 10:25:25 PM EST","2000 <","Every day","Spend at the beginning of the month, or some periodic time","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","100","Yes","No","No","Yes"
"2018/03/23 10:25:36 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","200","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 10:28:20 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","25","No","No","No","No"
"2018/03/23 10:28:31 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","200","No","No","No","No"
"2018/03/23 10:30:47 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","Yes","No","$36 for 75 orbs","No"
"2018/03/23 10:32:29 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","200","No","No","No","No"
"2018/03/23 10:35:14 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","100","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 10:36:10 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","150","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 10:39:24 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","","Yes","No","No","No"
"2018/03/23 10:40:06 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","200","Yes","No","$36 for 75 orbs","No"
"2018/03/23 10:42:16 PM EST","< 100","Every day","Spend at the beginning of the month, or some periodic time","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","","","No","No","No"
"2018/03/23 10:45:06 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","No","No","No","No"
"2018/03/23 10:46:27 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","100","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 10:49:07 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20","No","No","No","Yes"
"2018/03/23 10:49:18 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","No","No","No","No"
"2018/03/23 10:50:35 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","No","No","$40 (USD) for 83 orbs","No"
"2018/03/23 10:52:00 PM EST","< 100","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","40","Yes","No","$36 for 75 orbs","No"
"2018/03/23 10:52:55 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/23 10:57:37 PM EST","< 100","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","35","Yes","No","No","No"
"2018/03/23 11:01:00 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","Yes","No","No","No"
"2018/03/23 11:02:55 PM EST","< 100","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 11:03:57 PM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","15","No","No","No","No"
"2018/03/23 11:05:04 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","0","No","No","No","No"
"2018/03/23 11:08:10 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","100","No","No","No","No"
"2018/03/23 11:09:53 PM EST","100 - 500","Every day","Spend at the beginning of the month, or some periodic time;Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","85","No","No","No","No"
"2018/03/23 11:10:29 PM EST","< 100","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","25","No","No","No","No"
"2018/03/23 11:12:31 PM EST","500 - 2000","Every day","Spend at the beginning of the month, or some periodic time","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","60","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 11:13:17 PM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","60","Yes","No","No","No"
"2018/03/23 11:17:47 PM EST","< 100","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","80","No","No","No","No"
"2018/03/23 11:20:33 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Don't really care about orb quests, just get whatever pops up here and there","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","No","No"
"2018/03/23 11:23:55 PM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","Yes","Yes","$40 (USD) for 83 orbs","No"
"2018/03/23 11:25:25 PM EST","< 100","Scattered, no real patter or content based","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","Yes","No","No","No"
"2018/03/23 11:25:30 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Don’t even complete quests most of the time","Don't really care about orb quests, just get whatever pops up here and there","Yes because you ran out of orbs","10","No","No","No","No"
"2018/03/23 11:27:18 PM EST","< 100","Every day","Spend at the beginning of the month, or some periodic time","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","Yes","No","No","No"
"2018/03/23 11:31:48 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","20","Yes","No","No","No"
"2018/03/23 11:33:12 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","No","No"
"2018/03/23 11:33:41 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","20","No","No","No","No"
"2018/03/23 11:35:46 PM EST","< 100","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","23","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/23 11:39:27 PM EST","0","Every other day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","200","No","No","No","No"
"2018/03/23 11:40:43 PM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","Yes","No","$36 for 75 orbs","No"
"2018/03/23 11:45:23 PM EST","< 100","Every day","Impulsively during some banner you are trying for","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","Yes","No","$36 for 75 orbs","No"
"2018/03/23 11:48:55 PM EST","2000 <","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","5","Yes","No","$36 for 75 orbs","No"
"2018/03/23 11:50:04 PM EST","< 100","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","40","No","No","No","No"
"2018/03/23 11:58:22 PM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","50","No","No","No","No"
"2018/03/24 12:08:11 AM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","40","No","No","No","No"
"2018/03/24 12:09:41 AM EST","500 - 2000","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","100","No","No","No","No"
"2018/03/24 12:10:04 AM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","No","No"
"2018/03/24 12:14:05 AM EST","2000 <","Every day","Spend at the beginning of the month, or some periodic time;Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","20","Yes","Yes","$36 for 75 orbs","No"
"2018/03/24 12:15:04 AM EST","100 - 500","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","50","Yes","Yes","$36 for 75 orbs","No"
"2018/03/24 12:19:55 AM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","40","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/24 12:20:07 AM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","30","No","No","No","No"
"2018/03/24 12:29:02 AM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","","No","No","No","No"
"2018/03/24 12:30:27 AM EST","500 - 2000","Every day","Spend at the beginning of the month, or some periodic time","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","30","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/24 12:33:06 AM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Somewhere in the middle of a banner's lifetime","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","120","No","No","No","No"
"2018/03/24 12:40:17 AM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","","Yes","No","$36 for 75 orbs","No"
"2018/03/24 12:41:11 AM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","50","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/24 12:42:31 AM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","50","No","No","$36 for 75 orbs","No"
"2018/03/24 12:46:21 AM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","","No","No","No","No"
"2018/03/24 12:46:43 AM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","300","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/24 12:54:07 AM EST","< 100","Every day","Spend at the beginning of the month, or some periodic time","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","20 ","No","No","No","No"
"2018/03/24 12:55:04 AM EST","100 - 500","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","250","No","No","No","No"
"2018/03/24 12:57:29 AM EST","100 - 500","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","10","No","No","No","No"
"2018/03/24 12:59:14 AM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20","No","No","$40 (USD) for 83 orbs","No"
"2018/03/24 1:07:37 AM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","200","Yes","No","$36 for 75 orbs","No"
"2018/03/24 1:16:18 AM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","100","No","No","No","No"
"2018/03/24 1:25:13 AM EST","< 100","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","25","No","No","No","No"
"2018/03/24 1:29:05 AM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","Yes because you ran out of orbs","40","No","No","No","No"
"2018/03/24 1:34:01 AM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","0","No","No","No","No"
"2018/03/24 1:39:20 AM EST","100 - 500","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","40","No","No","No","No"
"2018/03/24 1:40:24 AM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","50","Yes","No","$36 for 75 orbs","Yes"
"2018/03/24 1:46:20 AM EST","500 - 2000","Every day","Spend at the beginning of the month, or some periodic time","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","30","Yes","No","$36 for 75 orbs","No"
"2018/03/24 1:46:37 AM EST","2000 <","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","40","Yes","No","$40 (USD) for 83 orbs","No"
"2018/03/24 2:13:10 AM EST","100 - 500","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Spent but was not able to break pity rate","100","No","No","No","No"
"2018/03/24 2:24:36 AM EST","500 - 2000","Every day","Spend at the beginning of the month, or some periodic time","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","75","Yes","No","No","No"
"2018/03/24 2:48:56 AM EST","< 100","Every day","Impulsively during some banner you are trying for","At the last 3 days of a banner's life time","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","80","No","No","No","No"
"2018/03/24 3:03:46 AM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","100","No","No","No","No"
"2018/03/24 3:05:02 AM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","After scoping out the other banners near the time frame","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","70","No","No","No","No"
"2018/03/24 3:20:52 AM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","Yes because you ran out of orbs","20","No","No","No","No"
"2018/03/24 3:43:51 AM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Within the first 3 days, actively trying to complete them","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","50","No","No","No","No"
"2018/03/24 4:01:42 AM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No you will buy more orbs to break the pity rate","300","Yes","No","$36 for 75 orbs","No"
"2018/03/24 4:15:58 AM EST","0","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","In the first 3 days","Somewhere in the middle, complete them with other activities","Completely get all orb rewards (aka tempest, best arena tier you can achieve, orb quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","40","No","No","No","No"
"2018/03/24 4:29:53 AM EST","500 - 2000","Every day","Impulsively during some banner you are trying for","In the first 3 days","Somewhere in the middle, complete them with other activities","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No you will buy more orbs to break the pity rate","60","Yes","Yes","$36 for 75 orbs","No"
"2018/03/24 4:32:31 AM EST","< 100","Every day","None (mark this if you don’t spend, it makes my life easier thanks!)","Randomly whenever you have orbs (no pattern)","Within the first 3 days, actively trying to complete them","Get whatever you can with normal play (eg not training units specifically for 3 heros quests)","No, you've gotten lucky enough to break the pity rate naturally (without spending)","","No","No","No","No"
